timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,0.905,0.974,0.897,0.943,668708.9
1739102400000,1739102400000,0.943,0.951,0.9,0.905,436473.2
1739124000000,1739124000000,0.905,0.917,0.849,0.906,334354.4
1739145600000,1739145600000,0.906,0.92,0.856,0.901,286192.0
1739167200000,1739167200000,0.901,0.907,0.88,0.894,143878.1
1739188800000,1739188800000,0.894,0.94,0.884,0.927,288802.0
1739210400000,1739210400000,0.927,0.941,0.915,0.926,118158.7
1739232000000,1739232000000,0.926,0.993,0.926,0.985,296600.6
1739253600000,1739253600000,0.985,0.986,0.949,0.957,154953.3
1739275200000,1739275200000,0.957,0.959,0.916,0.919,185791.8
1739296800000,1739296800000,0.919,0.924,0.895,0.914,245874.0
1739318400000,1739318400000,0.914,0.94,0.911,0.933,171904.7
1739340000000,1739340000000,0.933,0.937,0.916,0.931,109940.6
1739361600000,1739361600000,0.931,1.035,0.895,1.015,874191.9
1739383200000,1739383200000,1.015,1.068,0.995,1.05,487248.9
1739404800000,1739404800000,1.05,1.086,1.041,1.051,341685.4
1739426400000,1739426400000,1.051,1.056,0.995,1.013,284142.9
1739448000000,1739448000000,1.013,1.023,0.975,0.992,412293.8
1739469600000,1739469600000,0.992,1.012,0.982,1.006,114082.0
1739491200000,1739491200000,1.006,1.017,0.988,0.992,120081.0
1739512800000,1739512800000,0.992,1.018,0.98,0.998,156113.3
1739534400000,1739534400000,0.998,1.04,0.988,1.029,305008.1
1739556000000,1739556000000,1.029,1.04,0.988,1.008,236951.7
1739577600000,1739577600000,1.008,1.01,0.989,1.009,103894.3
1739599200000,1739599200000,1.009,1.01,0.965,0.976,121409.2
1739620800000,1739620800000,0.976,0.981,0.952,0.957,164866.7
1739642400000,1739642400000,0.957,0.972,0.95,0.957,84456.4
1739664000000,1739664000000,0.957,0.97,0.947,0.963,88349.4
1739685600000,1739685600000,0.963,0.995,0.946,0.993,183646.0
1739707200000,1739707200000,0.993,0.997,0.964,0.983,164696.3
1739728800000,1739728800000,0.983,0.983,0.948,0.965,152778.6
1739750400000,1739750400000,0.965,0.996,0.947,0.965,130203.6
1739772000000,1739772000000,0.965,0.984,0.947,0.983,187492.7
1739793600000,1739793600000,0.983,1.004,0.934,0.935,277844.4
1739815200000,1739815200000,0.935,0.955,0.915,0.939,139877.9
1739836800000,1739836800000,0.939,0.943,0.919,0.92,112481.5
1739858400000,1739858400000,0.92,0.96,0.896,0.937,506534.0
1739880000000,1739880000000,0.937,0.95,0.875,0.892,439581.6
1739901600000,1739901600000,0.892,0.921,0.889,0.92,191136.3
1739923200000,1739923200000,0.92,0.93,0.906,0.928,98553.8
1739944800000,1739944800000,0.928,0.956,0.928,0.954,102840.0
1739966400000,1739966400000,0.954,0.962,0.933,0.943,92184.5
1739988000000,1739988000000,0.943,0.947,0.926,0.941,66201.3
1740009600000,1740009600000,0.941,0.971,0.94,0.959,170189.8
1740031200000,1740031200000,0.959,0.978,0.95,0.975,134200.6
1740052800000,1740052800000,0.975,0.981,0.952,0.971,123449.8
1740074400000,1740074400000,0.971,1.047,0.971,1.035,146734.4
1740096000000,1740096000000,1.035,1.098,1.035,1.077,538663.3
1740117600000,1740117600000,1.077,1.115,1.057,1.085,713501.9
1740139200000,1740139200000,1.085,1.102,1.033,1.037,654238.4
1740160800000,1740160800000,1.037,1.048,1.001,1.014,223609.0
1740182400000,1740182400000,1.014,1.036,1.008,1.029,88257.8
1740204000000,1740204000000,1.029,1.052,1.024,1.05,98111.6
1740225600000,1740225600000,1.05,1.095,1.042,1.087,176478.0
1740247200000,1740247200000,1.087,1.099,1.077,1.094,76696.9
1740268800000,1740268800000,1.094,1.1,1.061,1.073,79404.0
1740290400000,1740290400000,1.073,1.086,1.051,1.054,94155.5
1740312000000,1740312000000,1.054,1.06,1.036,1.059,147600.2
1740333600000,1740333600000,1.059,1.064,1.044,1.059,75420.8
1740355200000,1740355200000,1.059,1.066,1.003,1.021,66904.6
1740376800000,1740376800000,1.021,1.021,0.984,1.001,97482.8
1740398400000,1740398400000,1.001,1.006,0.965,0.977,194506.8
1740420000000,1740420000000,0.977,0.977,0.87,0.896,438920.6
1740441600000,1740441600000,0.896,0.928,0.869,0.901,771592.1
1740463200000,1740463200000,0.901,0.911,0.843,0.909,357378.5
1740484800000,1740484800000,0.909,0.934,0.894,0.924,199484.4
1740506400000,1740506400000,0.924,0.96,0.915,0.941,114881.5
1740528000000,1740528000000,0.941,0.967,0.937,0.9481,58694.0
1740549600000,1740549600000,0.9481,0.9667,0.9463,0.9482,126036.3
1740571200000,1740571200000,0.9482,0.991,0.9302,0.9591,391483.4
1740592800000,1740592800000,0.9591,1.0046,0.9361,0.9839,458011.4
1740614400000,1740614400000,0.9839,0.997,0.9628,0.9961,207163.6
1740636000000,1740636000000,0.9961,1.0086,0.9875,0.9951,271195.7
1740657600000,1740657600000,0.9951,0.9995,0.9559,0.9673,151991.0
1740679200000,1740679200000,0.9673,0.971,0.9316,0.9513,165100.4
1740700800000,1740700800000,0.9513,0.9576,0.878,0.899,674243.9
1740722400000,1740722400000,0.899,0.9118,0.873,0.888,332364.1
1740744000000,1740744000000,0.888,0.9536,0.8847,0.95,282073.6
1740765600000,1740765600000,0.95,0.9736,0.95,0.9571,168635.3
1740787200000,1740787200000,0.9571,0.9591,0.9342,0.9435,156987.4
1740808800000,1740808800000,0.9435,0.944,0.9146,0.9152,150490.7
1740830400000,1740830400000,0.9152,0.9244,0.9063,0.9111,119217.5
1740852000000,1740852000000,0.9111,0.9305,0.9041,0.9209,95465.4
1740873600000,1740873600000,0.9209,0.9279,0.9091,0.921,136220.2
1740895200000,1740895200000,0.921,0.9498,0.9105,0.945,207768.5
1740916800000,1740916800000,0.945,1.0384,0.9247,1.0309,1075770.9
1740938400000,1740938400000,1.0309,1.0503,1.01,1.0379,220846.2
1740960000000,1740960000000,1.0379,1.041,0.9762,1.0016,177001.4
1740981600000,1740981600000,1.0016,1.0039,0.9571,0.9728,211657.9
1741003200000,1741003200000,0.9728,0.9956,0.9534,0.9537,276759.8
1741024800000,1741024800000,0.9537,0.9556,0.837,0.8449,466026.8
1741046400000,1741046400000,0.8449,0.8501,0.7602,0.7906,697704.7
1741068000000,1741068000000,0.7906,0.798,0.7675,0.7766,308565.0
1741089600000,1741089600000,0.7766,0.8033,0.7234,0.7725,810460.1
1741111200000,1741111200000,0.7725,0.8013,0.7675,0.7778,400541.7
1741132800000,1741132800000,0.7778,0.7848,0.7551,0.7604,310667.2
1741154400000,1741154400000,0.7604,0.8126,0.7544,0.7896,495552.8
1741176000000,1741176000000,0.7896,0.7982,0.7605,0.7845,344998.9
1741197600000,1741197600000,0.7845,0.8027,0.7845,0.7942,165442.3
1741219200000,1741219200000,0.7942,0.8067,0.7768,0.802,289736.0
1741240800000,1741240800000,0.802,0.8055,0.7821,0.8024,224149.7
1741262400000,1741262400000,0.8024,0.805,0.7661,0.7752,683712.1
1741284000000,1741284000000,0.7752,0.7867,0.7537,0.7703,464088.0
1741305600000,1741305600000,0.7703,0.7773,0.7261,0.7654,479488.8
1741327200000,1741327200000,0.7654,0.7881,0.7586,0.7794,255024.2
1741348800000,1741348800000,0.7794,0.797,0.7715,0.783,634068.5
1741370400000,1741370400000,0.783,0.806,0.7545,0.7585,325502.7
1741392000000,1741392000000,0.7585,0.776,0.7485,0.7657,267523.4
1741413600000,1741413600000,0.7657,0.7672,0.7309,0.7344,423523.3
1741435200000,1741435200000,0.7344,0.7487,0.7111,0.7479,382061.0
1741456800000,1741456800000,0.7479,0.7541,0.725,0.7364,268663.5
1741478400000,1741478400000,0.7364,0.7409,0.727,0.7287,147814.0
1741500000000,1741500000000,0.7287,0.7324,0.7097,0.7168,208053.3
1741521600000,1741521600000,0.7168,0.7268,0.6542,0.6568,517506.8
1741543200000,1741543200000,0.6568,0.6632,0.6366,0.6518,431179.6
1741564800000,1741564800000,0.6518,0.6856,0.6457,0.6844,367318.9
1741586400000,1741586400000,0.6844,0.7157,0.6807,0.707,307253.1
1741608000000,1741608000000,0.707,0.715,0.645,0.647,627613.1
1741629600000,1741629600000,0.647,0.6579,0.6179,0.6336,433545.3
1741651200000,1741651200000,0.6336,0.6476,0.5793,0.6377,594987.2
1741672800000,1741672800000,0.6377,0.6441,0.6305,0.6356,281216.4
1741694400000,1741694400000,0.6356,0.6594,0.6137,0.6412,859486.4
1741716000000,1741716000000,0.6412,0.6726,0.6412,0.6552,248642.5
1741737600000,1741737600000,0.6552,0.6656,0.6243,0.6359,186929.7
1741759200000,1741759200000,0.6359,0.6633,0.631,0.6603,435221.7
1741780800000,1741780800000,0.6603,0.6818,0.6389,0.6535,421014.0
1741802400000,1741802400000,0.6535,0.6596,0.6482,0.6571,141957.5
1741824000000,1741824000000,0.6571,0.6681,0.6528,0.6545,183192.7
1741845600000,1741845600000,0.6545,0.6726,0.6481,0.6643,205802.9
1741867200000,1741867200000,0.6643,0.6712,0.6304,0.6318,333570.9
1741888800000,1741888800000,0.6318,0.6508,0.6238,0.6479,276137.5
1741910400000,1741910400000,0.6479,0.6515,0.6407,0.6481,152073.9
1741932000000,1741932000000,0.6481,0.6693,0.6446,0.6659,191859.2
1741953600000,1741953600000,0.6659,0.6917,0.6601,0.6886,431411.8
1741975200000,1741975200000,0.6886,0.6906,0.6755,0.6767,152636.2
1741996800000,1741996800000,0.6767,0.6865,0.6637,0.6865,198741.4
1742018400000,1742018400000,0.6865,0.6886,0.6741,0.6802,248767.8
1742040000000,1742040000000,0.6802,0.7049,0.6791,0.703,189671.5
1742061600000,1742061600000,0.703,0.7089,0.6923,0.7039,192977.3
1742083200000,1742083200000,0.7039,0.7042,0.6841,0.7003,164579.9
1742104800000,1742104800000,0.7003,0.7084,0.6735,0.6744,273949.8
1742126400000,1742126400000,0.6744,0.6855,0.664,0.6744,284048.3
1742148000000,1742148000000,0.6744,0.6762,0.6541,0.6607,173499.6
1742169600000,1742169600000,0.6607,0.7018,0.6601,0.6933,280304.7
1742191200000,1742191200000,0.6933,0.7089,0.6849,0.7008,376542.7
1742212800000,1742212800000,0.7008,0.7246,0.6906,0.7071,913941.9
1742234400000,1742234400000,0.7071,0.7186,0.7068,0.7084,166580.0
1742256000000,1742256000000,0.7084,0.7101,0.6825,0.6899,213753.8
1742277600000,1742277600000,0.6899,0.7107,0.6748,0.6918,287560.5
1742299200000,1742299200000,0.6918,0.7013,0.6624,0.6655,219120.9
1742320800000,1742320800000,0.6655,0.6967,0.6628,0.6967,160972.6
1742342400000,1742342400000,0.6967,0.7096,0.6941,0.7006,178886.0
1742364000000,1742364000000,0.7006,0.7166,0.6907,0.7141,329437.1
1742385600000,1742385600000,0.7141,0.7193,0.7008,0.7098,486064.4
1742407200000,1742407200000,0.7098,0.7354,0.7025,0.7342,354214.5
1742428800000,1742428800000,0.7342,0.738,0.7063,0.7102,300574.1
1742450400000,1742450400000,0.7102,0.7262,0.705,0.7155,270917.1
1742472000000,1742472000000,0.7155,0.7267,0.7073,0.717,211464.4
1742493600000,1742493600000,0.717,0.7216,0.7051,0.7088,168294.8
1742515200000,1742515200000,0.7088,0.7221,0.7042,0.7113,201060.8
1742536800000,1742536800000,0.7113,0.7164,0.689,0.696,201078.5
1742558400000,1742558400000,0.696,0.7075,0.6913,0.7005,196593.8
1742580000000,1742580000000,0.7005,0.7129,0.6964,0.7047,245293.5
1742601600000,1742601600000,0.7047,0.7154,0.6919,0.7149,148994.7
1742623200000,1742623200000,0.7149,0.7305,0.7148,0.7239,213798.3
1742644800000,1742644800000,0.7239,0.732,0.7104,0.7299,176766.2
1742666400000,1742666400000,0.7299,0.7344,0.7089,0.7133,153527.8
1742688000000,1742688000000,0.7133,0.7359,0.7061,0.7268,123390.2
1742709600000,1742709600000,0.7268,0.7317,0.7129,0.715,133813.1
1742731200000,1742731200000,0.715,0.7168,0.6838,0.6862,237503.9
1742752800000,1742752800000,0.6862,0.705,0.6814,0.7049,141575.0
1742774400000,1742774400000,0.7049,0.7275,0.6846,0.7203,374216.9
1742796000000,1742796000000,0.7203,0.7379,0.7179,0.734,294866.4
1742817600000,1742817600000,0.734,0.7418,0.7265,0.7354,275873.5
1742839200000,1742839200000,0.7354,0.7475,0.7313,0.7445,170477.0
1742860800000,1742860800000,0.7445,0.7496,0.7245,0.7383,335323.1
1742882400000,1742882400000,0.7383,0.7492,0.7347,0.745,163936.8
1742904000000,1742904000000,0.745,0.7477,0.726,0.7429,236861.6
1742925600000,1742925600000,0.7429,0.7502,0.7343,0.748,91921.7
1742947200000,1742947200000,0.748,0.7484,0.7327,0.7478,149586.4
1742968800000,1742968800000,0.7478,0.7666,0.7471,0.761,123538.8
1742990400000,1742990400000,0.761,0.7622,0.7262,0.7353,188950.3
1743012000000,1743012000000,0.7353,0.7356,0.7165,0.7277,131590.4
1743033600000,1743033600000,0.7277,0.7472,0.7252,0.7427,89885.6
1743055200000,1743055200000,0.7427,0.7445,0.718,0.7183,85087.6
1743076800000,1743076800000,0.7183,0.7369,0.7072,0.7205,118088.2
1743098400000,1743098400000,0.7205,0.7333,0.7197,0.7262,49939.4
1743120000000,1743120000000,0.7262,0.7341,0.678,0.6781,277030.4
1743141600000,1743141600000,0.6781,0.6821,0.6586,0.6688,167033.4
1743163200000,1743163200000,0.6688,0.6723,0.6501,0.6544,170211.8
1743184800000,1743184800000,0.6544,0.6629,0.6438,0.6622,134780.9
1743206400000,1743206400000,0.6622,0.6694,0.6449,0.6503,102010.0
1743228000000,1743228000000,0.6503,0.6503,0.6307,0.6357,159497.8
1743249600000,1743249600000,0.6357,0.6474,0.6153,0.6238,176130.1
1743271200000,1743271200000,0.6238,0.6301,0.609,0.617,277928.1
1743292800000,1743292800000,0.617,0.6355,0.6031,0.6292,147185.8
1743314400000,1743314400000,0.6292,0.64,0.6264,0.6291,65587.0
1743336000000,1743336000000,0.6291,0.6317,0.6056,0.6163,168128.3
1743357600000,1743357600000,0.6163,0.6328,0.6094,0.6158,72131.3
1743379200000,1743379200000,0.6158,0.627,0.6002,0.617,114432.2
1743400800000,1743400800000,0.617,0.6184,0.5881,0.6075,215742.5
1743422400000,1743422400000,0.6075,0.6207,0.5997,0.6062,178085.4
1743444000000,1743444000000,0.6062,0.6136,0.5978,0.6045,117786.6
1743465600000,1743465600000,0.6045,0.6211,0.6019,0.613,179509.9
1743487200000,1743487200000,0.613,0.6294,0.6043,0.608,241174.6
1743508800000,1743508800000,0.608,0.6248,0.595,0.6155,245886.4
1743530400000,1743530400000,0.6155,0.6161,0.59,0.603,124949.2
1743552000000,1743552000000,0.603,0.603,0.5651,0.5687,272045.2
1743573600000,1743573600000,0.5687,0.5838,0.5628,0.5711,275660.8
1743595200000,1743595200000,0.5711,0.5913,0.5593,0.5752,225249.5
1743616800000,1743616800000,0.5752,0.5976,0.5264,0.5339,499034.3
1743638400000,1743638400000,0.5339,0.5562,0.5305,0.5477,178856.8
1743660000000,1743660000000,0.5477,0.5495,0.4947,0.5088,452884.3
1743681600000,1743681600000,0.5088,0.5267,0.4997,0.5213,308980.5
1743703200000,1743703200000,0.5213,0.5352,0.5202,0.5297,142598.1
1743724800000,1743724800000,0.5297,0.5406,0.5219,0.5396,128695.9
1743746400000,1743746400000,0.5396,0.5433,0.5109,0.5181,171532.2
1743768000000,1743768000000,0.5181,0.5376,0.5143,0.5338,254103.8
1743789600000,1743789600000,0.5338,0.5382,0.5259,0.5351,143402.9
1743811200000,1743811200000,0.5351,0.5443,0.5311,0.5335,148259.3
1743832800000,1743832800000,0.5335,0.5411,0.5268,0.5295,96982.9
1743854400000,1743854400000,0.5295,0.5295,0.5124,0.5162,121486.1
1743876000000,1743876000000,0.5162,0.5277,0.5162,0.5267,47645.5
1743897600000,1743897600000,0.5267,0.5267,0.5146,0.5256,57768.1
1743919200000,1743919200000,0.5256,0.5261,0.5108,0.5152,71232.0
1743940800000,1743940800000,0.5152,0.5162,0.4729,0.4783,344838.1
1743962400000,1743962400000,0.4783,0.4795,0.4499,0.4621,330324.3
1743984000000,1743984000000,0.4621,0.4842,0.4501,0.4636,558827.0
1744005600000,1744005600000,0.4636,0.4694,0.4253,0.4486,654218.8
1744027200000,1744027200000,0.4486,0.501,0.4483,0.4829,1097277.3
1744048800000,1744048800000,0.4829,0.4864,0.4722,0.4786,195340.2
1744070400000,1744070400000,0.4786,0.4935,0.4724,0.476,78182.9
1744092000000,1744092000000,0.476,0.4801,0.4655,0.4786,148241.4
1744113600000,1744113600000,0.4786,0.4813,0.447,0.4561,216116.6
1744135200000,1744135200000,0.4561,0.4599,0.4419,0.4468,199608.3
1744156800000,1744156800000,0.4468,0.4601,0.4242,0.4598,267357.9
1744178400000,1744178400000,0.4598,0.4759,0.459,0.4631,304613.6
1744200000000,1744200000000,0.4631,0.5065,0.4584,0.5059,220331.9
1744221600000,1744221600000,0.5059,0.5156,0.5013,0.507,284594.6
1744243200000,1744243200000,0.507,0.5077,0.4874,0.4944,149427.0
1744264800000,1744264800000,0.4944,0.4955,0.4839,0.4862,91197.6
1744286400000,1744286400000,0.4862,0.498,0.4683,0.4833,489896.8
1744308000000,1744308000000,0.4833,0.488,0.4794,0.4857,53161.5
1744329600000,1744329600000,0.4857,0.4974,0.4839,0.4959,134330.5
1744351200000,1744351200000,0.4959,0.4974,0.4848,0.485,187536.5
1744372800000,1744372800000,0.485,0.5052,0.479,0.4993,1237210.7
1744394400000,1744394400000,0.4993,0.5011,0.4868,0.4882,161079.6
1744416000000,1744416000000,0.4882,0.4903,0.4827,0.4886,107621.6
1744437600000,1744437600000,0.4886,0.4939,0.4846,0.4905,104308.6
1744459200000,1744459200000,0.4905,0.5239,0.4896,0.5105,555925.2
1744480800000,1744480800000,0.5105,0.5252,0.5104,0.5139,428392.1
1744502400000,1744502400000,0.5139,0.5154,0.4934,0.4953,316555.0
1744524000000,1744524000000,0.4953,0.5101,0.4953,0.4977,192821.0
1744545600000,1744545600000,0.4977,0.4991,0.4773,0.498,260868.0
1744567200000,1744567200000,0.498,0.5005,0.4531,0.4588,491820.7
1744588800000,1744588800000,0.4588,0.4764,0.4577,0.4633,159838.8
1744610400000,1744610400000,0.4633,0.4732,0.4545,0.4721,218499.7
1744632000000,1744632000000,0.4721,0.4736,0.4497,0.4627,419516.0
1744653600000,1744653600000,0.4627,0.465,0.4536,0.454,109734.0
1744675200000,1744675200000,0.454,0.4626,0.4486,0.46,99888.6
1744696800000,1744696800000,0.46,0.4697,0.4557,0.4662,162626.9
1744718400000,1744718400000,0.4662,0.4739,0.4538,0.4552,256029.4
1744740000000,1744740000000,0.4552,0.4563,0.4456,0.4497,242800.0
1744761600000,1744761600000,0.4497,0.4553,0.4422,0.4461,171834.1
1744783200000,1744783200000,0.4461,0.4508,0.4346,0.4439,180222.8
1744804800000,1744804800000,0.4439,0.4503,0.4271,0.4284,489550.6
1744826400000,1744826400000,0.4284,0.4522,0.4281,0.4414,389467.1
1744848000000,1744848000000,0.4414,0.4524,0.4367,0.451,95442.0
1744869600000,1744869600000,0.451,0.457,0.4476,0.4507,237474.1
1744891200000,1744891200000,0.4507,0.4575,0.4348,0.4527,553999.5
1744912800000,1744912800000,0.4527,0.4543,0.4419,0.448,74167.8
1744934400000,1744934400000,0.448,0.4611,0.4427,0.461,292793.7
1744956000000,1744956000000,0.461,0.4734,0.457,0.4655,230425.8
1744977600000,1744977600000,0.4655,0.4734,0.4609,0.4706,139570.7
1744999200000,1744999200000,0.4706,0.4793,0.4665,0.4785,117876.0
1745020800000,1745020800000,0.4785,0.5026,0.4769,0.4947,401088.2
1745042400000,1745042400000,0.4947,0.501,0.4878,0.4912,257244.8
1745064000000,1745064000000,0.4912,0.5268,0.4892,0.5247,1022905.5
1745085600000,1745085600000,0.5247,0.5388,0.5152,0.5286,576725.1
1745107200000,1745107200000,0.5286,0.5862,0.5228,0.5691,1635326.6
1745128800000,1745128800000,0.5691,0.5929,0.5459,0.549,1764534.9
1745150400000,1745150400000,0.549,0.5736,0.5408,0.5652,733908.0
1745172000000,1745172000000,0.5652,0.5655,0.5452,0.5581,308815.8
1745193600000,1745193600000,0.5581,0.5701,0.5438,0.5622,583121.4
1745215200000,1745215200000,0.5622,0.5875,0.5602,0.582,1469558.5
1745236800000,1745236800000,0.582,0.7868,0.58,0.6763,10975653.6
1745258400000,1745258400000,0.6763,0.7029,0.6362,0.658,4397195.7
1745280000000,1745280000000,0.658,0.6745,0.6101,0.6329,2616414.1
1745301600000,1745301600000,0.6329,0.6425,0.6114,0.6246,3031365.5
1745323200000,1745323200000,0.6246,0.6555,0.6196,0.6258,2473982.4
1745344800000,1745344800000,0.6258,0.6389,0.6112,0.6379,959654.3
1745366400000,1745366400000,0.6379,0.6523,0.6206,0.6405,2186694.1
1745388000000,1745388000000,0.6405,0.6497,0.6291,0.6385,1343353.3
1745409600000,1745409600000,0.6385,0.6576,0.5921,0.6164,3203363.4
1745431200000,1745431200000,0.6164,0.6273,0.6067,0.626,369464.0
1745452800000,1745452800000,0.626,0.6318,0.6006,0.618,514516.7
