timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,1.985,2.012,1.956,1.981,157438.6
1739102400000,1739102400000,1.981,1.99,1.911,1.931,213968.5
1739124000000,1739124000000,1.931,1.935,1.846,1.898,243629.5
1739145600000,1739145600000,1.898,1.962,1.851,1.942,280218.2
1739167200000,1739167200000,1.942,1.984,1.934,1.944,143061.1
1739188800000,1739188800000,1.944,1.99,1.925,1.954,217692.6
1739210400000,1739210400000,1.954,1.963,1.915,1.944,181450.1
1739232000000,1739232000000,1.944,2.03,1.941,2.028,230738.3
1739253600000,1739253600000,2.028,2.044,1.988,2.028,261608.9
1739275200000,1739275200000,2.028,2.04,1.916,1.927,573294.5
1739296800000,1739296800000,1.927,1.93,1.869,1.904,372906.1
1739318400000,1739318400000,1.904,1.92,1.861,1.888,332886.0
1739340000000,1739340000000,1.888,1.906,1.866,1.896,168959.0
1739361600000,1739361600000,1.896,1.972,1.823,1.965,882630.3
1739383200000,1739383200000,1.965,2.008,1.941,1.987,437019.7
1739404800000,1739404800000,1.987,1.993,1.941,1.949,136766.6
1739426400000,1739426400000,1.949,1.949,1.896,1.912,217019.1
1739448000000,1739448000000,1.912,1.927,1.873,1.897,378904.7
1739469600000,1739469600000,1.897,1.929,1.883,1.903,108087.6
1739491200000,1739491200000,1.903,1.929,1.893,1.913,137895.8
1739512800000,1739512800000,1.913,1.957,1.904,1.931,169412.4
1739534400000,1739534400000,1.931,1.959,1.897,1.924,293791.8
1739556000000,1739556000000,1.924,1.946,1.911,1.929,171300.9
1739577600000,1739577600000,1.929,1.935,1.913,1.928,74629.5
1739599200000,1739599200000,1.928,1.928,1.887,1.901,99640.0
1739620800000,1739620800000,1.901,1.908,1.865,1.887,220063.9
1739642400000,1739642400000,1.887,1.905,1.886,1.898,73677.8
1739664000000,1739664000000,1.898,1.912,1.876,1.901,78329.9
1739685600000,1739685600000,1.901,1.943,1.895,1.94,146309.9
1739707200000,1739707200000,1.94,1.94,1.886,1.894,148469.1
1739728800000,1739728800000,1.894,1.903,1.88,1.888,92917.4
1739750400000,1739750400000,1.888,1.903,1.835,1.858,192194.7
1739772000000,1739772000000,1.858,1.896,1.842,1.886,227038.2
1739793600000,1739793600000,1.886,1.93,1.849,1.857,169676.0
1739815200000,1739815200000,1.857,1.876,1.831,1.856,110164.9
1739836800000,1739836800000,1.856,1.865,1.807,1.81,160269.6
1739858400000,1739858400000,1.81,1.811,1.749,1.754,223934.8
1739880000000,1739880000000,1.754,1.787,1.679,1.697,219071.8
1739901600000,1739901600000,1.697,1.723,1.692,1.721,127060.2
1739923200000,1739923200000,1.721,1.728,1.698,1.707,76989.8
1739944800000,1739944800000,1.707,1.75,1.707,1.75,86464.6
1739966400000,1739966400000,1.75,1.756,1.729,1.747,113665.0
1739988000000,1739988000000,1.747,1.747,1.716,1.736,56305.1
1740009600000,1740009600000,1.736,1.81,1.727,1.788,117484.0
1740031200000,1740031200000,1.788,1.843,1.785,1.831,205236.5
1740052800000,1740052800000,1.831,1.866,1.828,1.866,117118.3
1740074400000,1740074400000,1.866,1.887,1.857,1.871,154571.6
1740096000000,1740096000000,1.871,1.875,1.829,1.856,107560.4
1740117600000,1740117600000,1.856,1.913,1.855,1.9,105964.7
1740139200000,1740139200000,1.9,1.94,1.803,1.805,706983.8
1740160800000,1740160800000,1.805,1.822,1.73,1.772,313020.4
1740182400000,1740182400000,1.772,1.795,1.761,1.79,67711.9
1740204000000,1740204000000,1.79,1.813,1.781,1.806,73094.9
1740225600000,1740225600000,1.806,1.849,1.803,1.847,84431.6
1740247200000,1740247200000,1.847,1.847,1.803,1.818,106562.1
1740268800000,1740268800000,1.818,1.846,1.813,1.836,28843.6
1740290400000,1740290400000,1.836,1.89,1.835,1.839,76684.3
1740312000000,1740312000000,1.839,1.85,1.816,1.834,48621.3
1740333600000,1740333600000,1.834,1.844,1.799,1.825,80160.2
1740355200000,1740355200000,1.825,1.832,1.73,1.775,99535.0
1740376800000,1740376800000,1.775,1.784,1.728,1.748,121739.7
1740398400000,1740398400000,1.748,1.758,1.674,1.701,266374.4
1740420000000,1740420000000,1.701,1.73,1.63,1.638,366209.8
1740441600000,1740441600000,1.638,1.668,1.597,1.64,226638.1
1740463200000,1740463200000,1.64,1.642,1.476,1.561,827837.5
1740484800000,1740484800000,1.561,1.579,1.504,1.56,332387.2
1740506400000,1740506400000,1.56,1.614,1.528,1.594,145869.0
1740528000000,1740528000000,1.594,1.623,1.572,1.601,144043.5
1740549600000,1740549600000,1.601,1.621,1.581,1.589,121727.0
1740571200000,1740571200000,1.589,1.623,1.539,1.547,333082.6
1740592800000,1740592800000,1.547,1.579,1.487,1.562,487207.1
1740614400000,1740614400000,1.562,1.66,1.548,1.641,319873.5
1740636000000,1740636000000,1.641,1.663,1.632,1.651,99421.7
1740657600000,1740657600000,1.651,1.652,1.593,1.609,157590.8
1740679200000,1740679200000,1.609,1.614,1.56,1.601,158607.7
1740700800000,1740700800000,1.601,1.62,1.444,1.488,547969.9
1740722400000,1740722400000,1.488,1.522,1.46,1.517,291855.2
1740744000000,1740744000000,1.517,1.61,1.512,1.59,283809.5
1740765600000,1740765600000,1.59,1.63,1.59,1.625,100797.6
1740787200000,1740787200000,1.625,1.634,1.587,1.614,255652.6
1740808800000,1740808800000,1.614,1.616,1.553,1.564,164443.7
1740830400000,1740830400000,1.564,1.596,1.55,1.584,118627.5
1740852000000,1740852000000,1.584,1.623,1.582,1.614,148382.7
1740873600000,1740873600000,1.614,1.619,1.585,1.609,108344.7
1740895200000,1740895200000,1.609,1.624,1.592,1.619,164829.3
1740916800000,1740916800000,1.619,1.716,1.578,1.697,483228.6
1740938400000,1740938400000,1.697,1.758,1.666,1.736,302782.9
1740960000000,1740960000000,1.736,1.74,1.669,1.683,211491.1
1740981600000,1740981600000,1.683,1.683,1.604,1.631,173590.2
1741003200000,1741003200000,1.631,1.653,1.549,1.571,359257.7
1741024800000,1741024800000,1.571,1.571,1.454,1.463,338053.6
1741046400000,1741046400000,1.463,1.474,1.359,1.391,765604.2
1741068000000,1741068000000,1.391,1.394,1.316,1.336,269479.7
1741089600000,1741089600000,1.336,1.348,1.245,1.33,757515.7
1741111200000,1741111200000,1.33,1.391,1.325,1.361,299154.7
1741132800000,1741132800000,1.361,1.393,1.349,1.381,228778.0
1741154400000,1741154400000,1.381,1.441,1.378,1.409,230391.3
1741176000000,1741176000000,1.409,1.423,1.361,1.396,227639.4
1741197600000,1741197600000,1.396,1.433,1.388,1.432,108997.3
1741219200000,1741219200000,1.432,1.46,1.401,1.456,177439.3
1741240800000,1741240800000,1.456,1.463,1.428,1.449,164361.6
1741262400000,1741262400000,1.449,1.45,1.351,1.358,234439.4
1741284000000,1741284000000,1.358,1.369,1.334,1.344,160817.5
1741305600000,1741305600000,1.344,1.35,1.276,1.325,375519.1
1741327200000,1741327200000,1.325,1.402,1.32,1.392,255273.9
1741348800000,1741348800000,1.392,1.421,1.359,1.379,327894.7
1741370400000,1741370400000,1.379,1.411,1.336,1.344,217347.1
1741392000000,1741392000000,1.344,1.361,1.323,1.339,147899.6
1741413600000,1741413600000,1.339,1.344,1.313,1.319,90832.5
1741435200000,1741435200000,1.319,1.329,1.288,1.299,121794.2
1741456800000,1741456800000,1.299,1.328,1.299,1.304,130077.3
1741478400000,1741478400000,1.304,1.322,1.286,1.288,50061.9
1741500000000,1741500000000,1.288,1.299,1.244,1.254,223924.3
1741521600000,1741521600000,1.254,1.259,1.15,1.157,320466.2
1741543200000,1741543200000,1.157,1.169,1.084,1.09,426724.8
1741564800000,1741564800000,1.09,1.135,1.06,1.13,551701.1
1741586400000,1741586400000,1.13,1.201,1.12,1.195,576592.2
1741608000000,1741608000000,1.195,1.272,1.057,1.063,1224798.5
1741629600000,1741629600000,1.063,1.091,1.029,1.052,518139.5
1741651200000,1741651200000,1.052,1.299,1.052,1.221,9860699.1
1741672800000,1741672800000,1.221,1.244,1.162,1.196,2567293.8
1741694400000,1741694400000,1.196,1.199,1.137,1.169,1954547.8
1741716000000,1741716000000,1.169,1.232,1.169,1.186,839515.9
1741737600000,1741737600000,1.186,1.409,1.16,1.386,8588594.6
1741759200000,1741759200000,1.386,1.501,1.385,1.487,11164305.0
1741780800000,1741780800000,1.487,1.489,1.341,1.345,5795551.2
1741802400000,1741802400000,1.345,1.389,1.311,1.321,2919824.7
1741824000000,1741824000000,1.321,1.375,1.303,1.354,4443082.6
1741845600000,1741845600000,1.354,1.387,1.306,1.353,4516474.5
1741867200000,1741867200000,1.353,1.394,1.321,1.326,2715518.8
1741888800000,1741888800000,1.326,1.411,1.324,1.407,1175270.7
1741910400000,1741910400000,1.407,1.444,1.342,1.362,1962825.9
1741932000000,1741932000000,1.362,1.39,1.346,1.376,830571.0
1741953600000,1741953600000,1.376,1.399,1.356,1.372,1010835.5
1741975200000,1741975200000,1.372,1.385,1.355,1.379,524834.7
1741996800000,1741996800000,1.379,1.383,1.329,1.332,589851.6
1742018400000,1742018400000,1.332,1.351,1.323,1.35,316475.1
1742040000000,1742040000000,1.35,1.366,1.33,1.365,799939.6
1742061600000,1742061600000,1.365,1.368,1.348,1.362,310103.3
1742083200000,1742083200000,1.362,1.362,1.318,1.322,391064.7
1742104800000,1742104800000,1.322,1.346,1.291,1.294,510948.2
1742126400000,1742126400000,1.294,1.335,1.286,1.324,472159.6
1742148000000,1742148000000,1.324,1.325,1.281,1.298,259935.0
1742169600000,1742169600000,1.298,1.343,1.279,1.329,556152.4
1742191200000,1742191200000,1.329,1.345,1.312,1.335,327181.2
1742212800000,1742212800000,1.335,1.351,1.298,1.323,471163.3
1742234400000,1742234400000,1.323,1.337,1.313,1.321,271930.2
1742256000000,1742256000000,1.321,1.322,1.25,1.264,741746.3
