timestamp,time,open,high,low,close,volume
1761220800000,1761220800000,0.2555,0.3863,0.2361,0.3817,92488457.0
1761242400000,1761242400000,0.3817,0.6292,0.3708,0.6256,109718040.0
1761264000000,1761264000000,0.6256,0.75,0.5208,0.6911,110702767.0
1761285600000,1761285600000,0.6911,0.7091,0.555,0.6415,114191422.0
1761307200000,1761307200000,0.6415,0.743,0.5732,0.6065,128707065.0
1761328800000,1761328800000,0.6065,0.6153,0.4259,0.4678,146835763.0
1761350400000,1761350400000,0.4678,0.4972,0.4119,0.4248,71590451.0
1761372000000,1761372000000,0.4248,0.4622,0.385,0.3912,55272852.0
1761393600000,1761393600000,0.3912,0.403,0.3555,0.3717,58555263.0
1761415200000,1761415200000,0.3717,0.3843,0.357,0.3702,30563186.0
1761436800000,1761436800000,0.3702,0.4084,0.3588,0.4014,34459156.0
1761458400000,1761458400000,0.4014,0.4095,0.3689,0.3923,26991733.0
1761480000000,1761480000000,0.3923,0.4346,0.3681,0.4131,34168225.0
1761501600000,1761501600000,0.4131,0.4299,0.3856,0.3915,20971139.0
1761523200000,1761523200000,0.3915,0.4345,0.3906,0.4054,21545307.0
1761544800000,1761544800000,0.4054,0.4064,0.342,0.3471,23996634.0
1761566400000,1761566400000,0.3471,0.353,0.333,0.3515,17244460.0
1761588000000,1761588000000,0.3515,0.3621,0.3427,0.354,11979756.0
1761609600000,1761609600000,0.354,0.3614,0.3393,0.3478,14729277.0
1761631200000,1761631200000,0.3478,0.3559,0.3203,0.3338,16270398.0
1761652800000,1761652800000,0.3338,0.3495,0.3224,0.3475,10267186.0
1761674400000,1761674400000,0.3475,0.3745,0.3473,0.3697,13498519.0
1761696000000,1761696000000,0.3697,0.4109,0.3534,0.3557,28627602.0
1761717600000,1761717600000,0.3557,0.3682,0.3456,0.3519,14885120.0
1761739200000,1761739200000,0.3519,0.3649,0.3343,0.3422,14511853.0
1761760800000,1761760800000,0.3422,0.3566,0.3298,0.3524,12054680.0
1761782400000,1761782400000,0.3524,0.3579,0.2962,0.3011,18919943.0
1761804000000,1761804000000,0.3011,0.3044,0.2582,0.2586,22238298.0
1761825600000,1761825600000,0.2586,0.2896,0.258,0.286,21386646.0
1761847200000,1761847200000,0.286,0.4198,0.2853,0.4072,54408257.0
1761868800000,1761868800000,0.4072,0.4083,0.3128,0.327,31680954.0
1761890400000,1761890400000,0.327,0.3288,0.2992,0.3217,14142963.0
1761912000000,1761912000000,0.3217,0.3355,0.3077,0.3106,16094493.0
1761933600000,1761933600000,0.3106,0.3159,0.2946,0.3075,7308264.0
1761955200000,1761955200000,0.3075,0.3273,0.296,0.325,7735635.0
1761976800000,1761976800000,0.325,0.3466,0.3246,0.3367,8094462.0
1761998400000,1761998400000,0.3367,0.3475,0.3099,0.3244,10903090.0
1762020000000,1762020000000,0.3244,0.3369,0.3196,0.3274,5820819.0
1762041600000,1762041600000,0.3274,0.3295,0.2958,0.3035,5782750.0
1762063200000,1762063200000,0.3035,0.3073,0.2866,0.293,6253510.0
1762084800000,1762084800000,0.293,0.3071,0.2815,0.296,7977558.0
1762106400000,1762106400000,0.296,0.3093,0.293,0.2996,3306953.0
1762128000000,1762128000000,0.2996,0.3013,0.2785,0.2831,6260467.0
1762149600000,1762149600000,0.2831,0.2918,0.2791,0.2803,6000591.0
1762171200000,1762171200000,0.2803,0.3051,0.2685,0.295,13501945.0
1762192800000,1762192800000,0.295,0.2953,0.279,0.2893,2233707.0
