timestamp,time,open,high,low,close,volume
1761739200000,1761739200000,0.381,0.4,0.3522,0.383,5813889.0
1761760800000,1761760800000,0.383,0.3957,0.361,0.3635,3825657.0
1761782400000,1761782400000,0.3635,0.3792,0.323,0.345,5113454.0
1761804000000,1761804000000,0.345,0.3752,0.3366,0.3429,5496976.0
1761825600000,1761825600000,0.3429,0.4504,0.3323,0.351,23197927.0
1761847200000,1761847200000,0.351,0.4039,0.3414,0.3858,6003310.0
1761868800000,1761868800000,0.3858,0.4041,0.3535,0.3694,5988258.0
1761890400000,1761890400000,0.3694,0.3737,0.3365,0.347,3917292.0
1761912000000,1761912000000,0.347,0.3578,0.3349,0.3386,4131934.0
1761933600000,1761933600000,0.3386,0.3545,0.3354,0.3503,1528231.0
1761955200000,1761955200000,0.3503,0.3642,0.3465,0.3522,2363109.0
1761976800000,1761976800000,0.3522,0.3553,0.3428,0.3506,1792417.0
1761998400000,1761998400000,0.3506,0.3707,0.3494,0.3549,2822877.0
1762020000000,1762020000000,0.3549,0.3838,0.3537,0.3745,2848463.0
1762041600000,1762041600000,0.3745,0.4207,0.3745,0.3977,9139111.0
1762063200000,1762063200000,0.3977,0.4277,0.3813,0.4054,7822059.0
1762084800000,1762084800000,0.4054,0.4086,0.3838,0.3958,4881949.0
1762106400000,1762106400000,0.3958,0.5211,0.388,0.4849,23738217.0
1762128000000,1762128000000,0.4849,0.5066,0.4218,0.4293,18379267.0
1762149600000,1762149600000,0.4293,0.44,0.3972,0.3987,5456455.0
1762171200000,1762171200000,0.3987,0.4177,0.3814,0.3899,4669979.0
1762192800000,1762192800000,0.3899,0.3931,0.3675,0.3781,2265895.0
1762214400000,1762214400000,0.3781,0.3888,0.3343,0.3373,3667834.0
1762236000000,1762236000000,0.3373,0.3458,0.3009,0.3123,8786201.0
1762257600000,1762257600000,0.3123,0.3289,0.2975,0.3031,7895916.0
1762279200000,1762279200000,0.3031,0.3873,0.3007,0.3267,14966005.0
1762300800000,1762300800000,0.3267,0.3461,0.3175,0.3224,5635577.0
1762322400000,1762322400000,0.3224,0.3361,0.3154,0.332,4390001.0
1762344000000,1762344000000,0.332,0.385,0.3276,0.3726,9016559.0
1762365600000,1762365600000,0.3726,0.3858,0.358,0.3689,5480811.0
1762387200000,1762387200000,0.3689,0.3714,0.3539,0.365,2513576.0
1762408800000,1762408800000,0.365,0.372,0.3414,0.3547,3901454.0
1762430400000,1762430400000,0.3547,0.3676,0.3436,0.3634,4246541.0
1762452000000,1762452000000,0.3634,0.3658,0.3459,0.3494,1990200.0
1762473600000,1762473600000,0.3494,0.3631,0.3367,0.3541,2467156.0
1762495200000,1762495200000,0.3541,0.369,0.3426,0.3655,2582318.0
1762516800000,1762516800000,0.3655,0.3838,0.3585,0.3766,3100001.0
1762538400000,1762538400000,0.3766,0.3785,0.3686,0.3693,850489.0
1762560000000,1762560000000,0.3693,0.3736,0.3516,0.3541,1066435.0
1762581600000,1762581600000,0.3541,0.3624,0.3463,0.3506,1363497.0
1762603200000,1762603200000,0.3506,0.3671,0.3436,0.3499,1801443.0
1762624800000,1762624800000,0.3499,0.3681,0.3498,0.36,913381.0
1762646400000,1762646400000,0.36,0.3721,0.3508,0.3675,1350103.0
1762668000000,1762668000000,0.3675,0.3748,0.3606,0.3665,1938718.0
1762689600000,1762689600000,0.3665,0.3686,0.3508,0.3526,1653513.0
1762711200000,1762711200000,0.3526,0.354,0.3366,0.3381,1385737.0
