timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,39.79,40.18,39.57,39.59,5108.3
1739102400000,1739102400000,39.59,39.79,38.8,39.24,4989.22
1739124000000,1739124000000,39.24,39.31,37.56,39.06,6719.42
1739145600000,1739145600000,39.06,39.62,37.98,39.31,8132.1
1739167200000,1739167200000,39.31,39.58,38.96,39.27,4954.67
1739188800000,1739188800000,39.27,39.78,38.96,39.72,5750.7
1739210400000,1739210400000,39.72,39.79,39.29,39.68,3037.38
1739232000000,1739232000000,39.68,40.95,39.67,40.88,2930.49
1739253600000,1739253600000,40.88,41.13,40.39,40.74,2972.11
1739275200000,1739275200000,40.74,40.76,39.15,39.24,5780.11
1739296800000,1739296800000,39.24,39.56,38.47,39.19,5110.18
1739318400000,1739318400000,39.19,39.52,38.3,38.89,3792.46
1739340000000,1739340000000,38.89,39.43,38.66,39.16,3022.2
1739361600000,1739361600000,39.16,40.4,38.12,40.29,16915.68
1739383200000,1739383200000,40.29,41.26,39.91,40.97,6363.02
1739404800000,1739404800000,40.97,41.06,40.01,40.24,3891.52
1739426400000,1739426400000,40.24,40.4,38.89,39.21,9141.68
1739448000000,1739448000000,39.21,39.61,38.68,38.99,11512.87
1739469600000,1739469600000,38.99,39.81,38.84,39.55,8071.85
1739491200000,1739491200000,39.55,40.43,39.31,39.79,13678.23
1739512800000,1739512800000,39.79,40.5,39.71,40.07,4371.27
1739534400000,1739534400000,40.07,40.93,39.67,40.79,7509.61
1739556000000,1739556000000,40.79,40.99,39.5,39.98,6165.57
1739577600000,1739577600000,39.98,40.1,39.62,39.83,2941.33
1739599200000,1739599200000,39.83,39.83,39.37,39.6,3195.77
1739620800000,1739620800000,39.6,39.79,39.02,39.21,5993.53
1739642400000,1739642400000,39.21,39.42,38.86,39.25,2571.36
1739664000000,1739664000000,39.25,39.5,39.08,39.36,1514.85
1739685600000,1739685600000,39.36,40.35,39.07,39.83,5214.79
1739707200000,1739707200000,39.83,40.15,39.25,39.45,7356.42
1739728800000,1739728800000,39.45,39.83,39.12,39.5,2640.43
1739750400000,1739750400000,39.5,39.93,39.0,39.79,5024.42
1739772000000,1739772000000,39.79,40.11,39.54,39.86,6462.6
1739793600000,1739793600000,39.86,40.5,39.09,39.3,7650.71
1739815200000,1739815200000,39.3,39.91,38.82,39.58,8667.51
1739836800000,1739836800000,39.58,40.06,38.45,38.46,8364.59
1739858400000,1739858400000,38.46,38.52,37.69,38.24,7816.69
1739880000000,1739880000000,38.24,38.95,36.99,37.32,12043.51
1739901600000,1739901600000,37.32,37.51,36.88,37.41,6626.95
1739923200000,1739923200000,37.41,37.49,36.88,37.21,6275.14
1739944800000,1739944800000,37.21,38.36,37.17,38.26,7371.22
1739966400000,1739966400000,38.26,38.32,37.48,37.67,5091.23
1739988000000,1739988000000,37.67,37.95,37.32,37.85,3833.98
1740009600000,1740009600000,37.85,38.79,37.81,38.39,4826.64
1740031200000,1740031200000,38.39,38.49,37.94,38.23,8058.24
1740052800000,1740052800000,38.23,38.45,37.63,37.87,8511.1
1740074400000,1740074400000,37.87,38.66,37.86,38.55,4038.8
1740096000000,1740096000000,38.55,38.68,38.09,38.31,3677.99
1740117600000,1740117600000,38.31,38.94,38.24,38.78,6085.17
1740139200000,1740139200000,38.78,39.34,37.17,37.17,16881.91
