timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,51.32,52.61,51.24,51.66,14310.39
1739102400000,1739102400000,51.66,52.16,50.54,50.85,12418.5
1739124000000,1739124000000,50.85,51.17,48.53,51.07,20702.61
1739145600000,1739145600000,51.07,52.22,49.08,51.71,16211.33
1739167200000,1739167200000,51.71,52.45,51.44,52.08,8047.59
1739188800000,1739188800000,52.08,54.54,51.4,54.4,29350.56
1739210400000,1739210400000,54.4,54.73,53.93,54.47,14882.22
1739232000000,1739232000000,54.47,59.95,54.43,58.65,42268.41
1739253600000,1739253600000,58.65,59.59,58.24,59.52,58426.4
1739275200000,1739275200000,59.52,59.57,57.02,57.12,31476.11
1739296800000,1739296800000,57.12,57.19,55.27,55.85,20039.9
1739318400000,1739318400000,55.85,56.52,55.36,55.76,11005.49
1739340000000,1739340000000,55.76,57.08,55.15,56.34,11247.19
1739361600000,1739361600000,56.34,58.44,54.22,58.09,28137.83
1739383200000,1739383200000,58.09,59.7,57.52,58.2,11838.56
1739404800000,1739404800000,58.2,58.63,57.24,57.67,9798.66
1739426400000,1739426400000,57.67,57.83,55.82,56.25,54118.48
1739448000000,1739448000000,56.25,56.62,55.07,55.53,24261.69
1739469600000,1739469600000,55.53,56.54,55.18,56.0,13824.69
1739491200000,1739491200000,56.0,57.86,55.9,56.41,18604.68
1739512800000,1739512800000,56.41,57.78,56.28,57.13,11709.7
1739534400000,1739534400000,57.13,58.95,56.92,58.84,11498.35
1739556000000,1739556000000,58.84,59.23,57.4,58.45,11503.96
1739577600000,1739577600000,58.45,58.45,57.43,57.54,6781.27
1739599200000,1739599200000,57.54,57.67,56.92,57.24,7147.51
1739620800000,1739620800000,57.24,58.12,56.59,56.82,10211.76
1739642400000,1739642400000,56.82,57.08,56.23,56.38,5096.75
1739664000000,1739664000000,56.38,56.79,55.76,56.52,7828.15
1739685600000,1739685600000,56.52,57.31,55.97,57.24,8530.13
1739707200000,1739707200000,57.24,57.4,55.85,56.21,8074.24
1739728800000,1739728800000,56.21,56.21,54.8,54.94,6844.62
1739750400000,1739750400000,54.94,55.99,53.94,54.78,8077.04
1739772000000,1739772000000,54.78,56.76,54.73,56.28,15639.89
1739793600000,1739793600000,56.28,57.54,54.81,54.82,29750.94
1739815200000,1739815200000,54.82,56.25,53.59,55.69,9839.02
1739836800000,1739836800000,55.69,55.87,54.09,54.19,9875.47
1739858400000,1739858400000,54.19,54.3,53.03,53.57,9658.78
1739880000000,1739880000000,53.57,54.28,51.65,52.12,22226.89
1739901600000,1739901600000,52.12,52.96,51.55,52.92,7967.6
1739923200000,1739923200000,52.92,53.13,52.08,52.68,6907.95
1739944800000,1739944800000,52.68,54.65,52.64,54.56,5679.31
1739966400000,1739966400000,54.56,55.01,53.68,54.57,7793.01
1739988000000,1739988000000,54.57,55.21,53.68,54.78,17558.73
1740009600000,1740009600000,54.78,55.93,54.49,55.08,7554.66
1740031200000,1740031200000,55.08,55.1,53.92,54.41,8831.63
1740052800000,1740052800000,54.41,55.15,53.27,54.42,17284.9
1740074400000,1740074400000,54.42,55.68,54.39,55.19,18298.55
