timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,0.5368,0.5426,0.5346,0.5373,229094.0
1739102400000,1739102400000,0.5373,0.5398,0.5229,0.5265,438560.8
1739124000000,1739124000000,0.5265,0.5274,0.4992,0.526,939255.2
1739145600000,1739145600000,0.526,0.5332,0.5136,0.5268,777215.5
1739167200000,1739167200000,0.5268,0.5332,0.5249,0.5284,245145.8
1739188800000,1739188800000,0.5284,0.5371,0.5251,0.5336,428685.1
1739210400000,1739210400000,0.5336,0.5437,0.5303,0.5341,482582.4
1739232000000,1739232000000,0.5341,0.5641,0.5341,0.5625,962358.2
1739253600000,1739253600000,0.5625,0.5661,0.5496,0.5555,625589.1
1739275200000,1739275200000,0.5555,0.5563,0.5362,0.5448,504617.6
1739296800000,1739296800000,0.5448,0.5471,0.5329,0.5453,383899.9
1739318400000,1739318400000,0.5453,0.5527,0.5378,0.5432,413027.6
1739340000000,1739340000000,0.5432,0.5433,0.5343,0.5386,322000.3
1739361600000,1739361600000,0.5386,0.5484,0.5194,0.5459,864205.7
1739383200000,1739383200000,0.5459,0.5601,0.5427,0.5518,512525.9
1739404800000,1739404800000,0.5518,0.5616,0.5418,0.5478,759985.0
1739426400000,1739426400000,0.5478,0.5484,0.5325,0.5393,507235.4
1739448000000,1739448000000,0.5393,0.5417,0.5279,0.5312,1913490.6
1739469600000,1739469600000,0.5312,0.5389,0.5285,0.5359,281009.2
1739491200000,1739491200000,0.5359,0.5421,0.5337,0.5343,356583.6
1739512800000,1739512800000,0.5343,0.5449,0.5306,0.5362,555733.7
1739534400000,1739534400000,0.5362,0.5768,0.5334,0.5663,2633608.0
1739556000000,1739556000000,0.5663,0.5701,0.5461,0.5503,1163202.6
1739577600000,1739577600000,0.5503,0.5577,0.5465,0.5515,397958.5
1739599200000,1739599200000,0.5515,0.5516,0.5423,0.5443,482325.3
1739620800000,1739620800000,0.5443,0.5501,0.5374,0.5445,360151.2
1739642400000,1739642400000,0.5445,0.5525,0.5441,0.5496,555257.1
1739664000000,1739664000000,0.5496,0.551,0.5398,0.5435,782463.7
1739685600000,1739685600000,0.5435,0.5455,0.5391,0.5448,188567.0
1739707200000,1739707200000,0.5448,0.5461,0.5343,0.5385,377523.9
1739728800000,1739728800000,0.5385,0.5392,0.5312,0.536,247985.2
1739750400000,1739750400000,0.536,0.5437,0.5247,0.5351,506521.2
1739772000000,1739772000000,0.5351,0.5414,0.5275,0.538,436212.2
1739793600000,1739793600000,0.538,0.5471,0.5291,0.5324,639711.7
1739815200000,1739815200000,0.5324,0.5367,0.521,0.5311,308122.6
1739836800000,1739836800000,0.5311,0.5341,0.5218,0.5222,281044.5
1739858400000,1739858400000,0.5222,0.5222,0.5064,0.5138,684949.2
1739880000000,1739880000000,0.5138,0.5202,0.4686,0.4894,1397100.4
1739901600000,1739901600000,0.4894,0.4998,0.4868,0.4968,500043.6
1739923200000,1739923200000,0.4968,0.4998,0.485,0.4897,315436.7
1739944800000,1739944800000,0.4897,0.5071,0.4897,0.5064,416002.9
1739966400000,1739966400000,0.5064,0.508,0.4984,0.5051,302113.8
1739988000000,1739988000000,0.5051,0.5153,0.4992,0.5077,494553.0
1740009600000,1740009600000,0.5077,0.5215,0.5059,0.5166,332300.2
1740031200000,1740031200000,0.5166,0.5167,0.5085,0.5133,298938.1
1740052800000,1740052800000,0.5133,0.5168,0.4997,0.5135,638118.8
1740074400000,1740074400000,0.5135,0.5194,0.5133,0.5164,281099.2
1740096000000,1740096000000,0.5164,0.5189,0.5109,0.518,227006.3
1740117600000,1740117600000,0.518,0.536,0.5168,0.535,531687.0
1740139200000,1740139200000,0.535,0.5666,0.5271,0.5361,2565279.1
1740160800000,1740160800000,0.5361,0.543,0.5188,0.5313,2354472.6
1740182400000,1740182400000,0.5313,0.5329,0.5221,0.5274,436390.4
1740204000000,1740204000000,0.5274,0.5282,0.5127,0.5229,775971.6
1740225600000,1740225600000,0.5229,0.5319,0.5191,0.5302,454152.2
1740247200000,1740247200000,0.5302,0.5344,0.525,0.5273,546847.5
1740268800000,1740268800000,0.5273,0.5284,0.5172,0.5194,284820.4
1740290400000,1740290400000,0.5194,0.5254,0.5179,0.5191,149474.7
1740312000000,1740312000000,0.5191,0.52,0.5077,0.5151,316070.7
1740333600000,1740333600000,0.5151,0.5181,0.5105,0.5166,154533.4
1740355200000,1740355200000,0.5166,0.5183,0.487,0.4982,902357.0
1740376800000,1740376800000,0.4982,0.5067,0.494,0.5008,349897.4
1740398400000,1740398400000,0.5008,0.5084,0.4882,0.5035,508094.5
1740420000000,1740420000000,0.5035,0.5064,0.4488,0.4639,1187390.5
1740441600000,1740441600000,0.4639,0.4851,0.4522,0.4783,885308.5
