timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,3.329,3.379,3.312,3.343,626073.4
1739102400000,1739102400000,3.343,3.365,3.277,3.316,737769.1
1739124000000,1739124000000,3.316,3.328,3.153,3.309,1245170.8
1739145600000,1739145600000,3.309,3.375,3.188,3.34,1412498.4
1739167200000,1739167200000,3.34,3.441,3.316,3.428,895488.4
1739188800000,1739188800000,3.428,3.466,3.364,3.404,1257866.2
1739210400000,1739210400000,3.404,3.429,3.378,3.426,518632.5
1739232000000,1739232000000,3.426,3.523,3.413,3.514,1068534.0
1739253600000,1739253600000,3.514,3.535,3.46,3.488,866749.3
1739275200000,1739275200000,3.488,3.491,3.336,3.35,1281292.9
1739296800000,1739296800000,3.35,3.366,3.264,3.335,951291.4
1739318400000,1739318400000,3.335,3.357,3.28,3.314,631024.5
1739340000000,1739340000000,3.314,3.326,3.261,3.303,1513912.7
1739361600000,1739361600000,3.303,3.429,3.173,3.397,4239989.5
1739383200000,1739383200000,3.397,3.528,3.365,3.475,873114.1
1739404800000,1739404800000,3.475,3.509,3.402,3.425,697534.1
1739426400000,1739426400000,3.425,3.435,3.347,3.385,893079.2
1739448000000,1739448000000,3.385,3.429,3.341,3.372,1729789.0
1739469600000,1739469600000,3.372,3.431,3.351,3.401,628090.4
1739491200000,1739491200000,3.401,3.458,3.386,3.42,466153.1
1739512800000,1739512800000,3.42,3.515,3.4,3.473,800487.6
1739534400000,1739534400000,3.473,3.607,3.448,3.591,1602182.3
1739556000000,1739556000000,3.591,3.627,3.477,3.525,847285.7
1739577600000,1739577600000,3.525,3.567,3.494,3.541,412604.0
1739599200000,1739599200000,3.541,3.544,3.458,3.476,522590.5
1739620800000,1739620800000,3.476,3.501,3.406,3.417,711827.4
1739642400000,1739642400000,3.417,3.444,3.377,3.414,337132.3
1739664000000,1739664000000,3.414,3.429,3.358,3.401,335005.2
1739685600000,1739685600000,3.401,3.457,3.357,3.456,504003.2
1739707200000,1739707200000,3.456,3.485,3.37,3.399,732678.4
1739728800000,1739728800000,3.399,3.433,3.358,3.396,479573.0
1739750400000,1739750400000,3.396,3.471,3.321,3.375,1180436.3
1739772000000,1739772000000,3.375,3.462,3.352,3.409,987692.7
1739793600000,1739793600000,3.409,3.509,3.343,3.367,1395001.2
1739815200000,1739815200000,3.367,3.459,3.309,3.433,980076.4
1739836800000,1739836800000,3.433,3.437,3.306,3.311,694295.1
1739858400000,1739858400000,3.311,3.315,3.199,3.243,3643505.1
1739880000000,1739880000000,3.243,3.328,3.131,3.181,1583418.5
1739901600000,1739901600000,3.181,3.237,3.149,3.227,638830.0
1739923200000,1739923200000,3.227,3.266,3.19,3.229,699010.1
1739944800000,1739944800000,3.229,3.31,3.226,3.305,586318.7
1739966400000,1739966400000,3.305,3.33,3.249,3.309,833095.2
1739988000000,1739988000000,3.309,3.341,3.27,3.324,449987.6
1740009600000,1740009600000,3.324,3.502,3.312,3.469,1446392.6
1740031200000,1740031200000,3.469,3.481,3.423,3.458,990707.0
1740052800000,1740052800000,3.458,3.504,3.426,3.5,1236549.8
1740074400000,1740074400000,3.5,3.526,3.471,3.494,845459.0
1740096000000,1740096000000,3.494,3.537,3.463,3.521,794578.4
1740117600000,1740117600000,3.521,3.605,3.503,3.514,1154273.1
1740139200000,1740139200000,3.514,3.578,3.354,3.359,3656705.5
1740160800000,1740160800000,3.359,3.376,3.25,3.319,3678054.7
1740182400000,1740182400000,3.319,3.358,3.301,3.334,1197117.4
1740204000000,1740204000000,3.334,3.379,3.319,3.372,593961.0
1740225600000,1740225600000,3.372,3.438,3.347,3.429,881735.1
1740247200000,1740247200000,3.429,3.455,3.407,3.433,408728.9
1740268800000,1740268800000,3.433,3.465,3.417,3.44,316996.1
1740290400000,1740290400000,3.44,3.508,3.434,3.443,513766.4
1740312000000,1740312000000,3.443,3.46,3.373,3.422,954347.5
1740333600000,1740333600000,3.422,3.438,3.374,3.412,369502.2
1740355200000,1740355200000,3.412,3.437,3.256,3.306,1702923.6
1740376800000,1740376800000,3.306,3.321,3.223,3.268,685406.7
1740398400000,1740398400000,3.268,3.282,3.167,3.218,1140552.3
1740420000000,1740420000000,3.218,3.223,2.936,3.013,3430178.7
1740441600000,1740441600000,3.013,3.055,2.92,3.025,2595908.2
1740463200000,1740463200000,3.025,3.033,2.797,3.002,4516466.6
1740484800000,1740484800000,3.002,3.054,2.933,3.038,1618251.1
1740506400000,1740506400000,3.038,3.179,3.015,3.14,909895.1
1740528000000,1740528000000,3.14,3.219,3.12,3.164,541165.9
1740549600000,1740549600000,3.164,3.22,3.151,3.179,678811.9
1740571200000,1740571200000,3.179,3.213,3.072,3.089,1155696.6
1740592800000,1740592800000,3.089,3.211,3.005,3.149,1571200.9
1740614400000,1740614400000,3.149,3.221,3.128,3.213,671490.7
1740636000000,1740636000000,3.213,3.343,3.202,3.301,913165.7
1740657600000,1740657600000,3.301,3.311,3.221,3.258,1045658.6
1740679200000,1740679200000,3.258,3.274,3.148,3.261,950559.4
1740700800000,1740700800000,3.261,3.266,2.997,3.041,3052231.3
1740722400000,1740722400000,3.041,3.155,2.991,3.095,1618803.2
1740744000000,1740744000000,3.095,3.294,3.081,3.269,1997939.0
1740765600000,1740765600000,3.269,3.326,3.217,3.247,949735.1
1740787200000,1740787200000,3.247,3.297,3.208,3.276,508608.3
1740808800000,1740808800000,3.276,3.284,3.171,3.182,709554.7
1740830400000,1740830400000,3.182,3.197,3.134,3.169,642049.2
1740852000000,1740852000000,3.169,3.296,3.158,3.242,607119.7
1740873600000,1740873600000,3.242,3.272,3.207,3.249,298951.3
1740895200000,1740895200000,3.249,3.261,3.208,3.23,386443.4
1740916800000,1740916800000,3.23,3.584,3.18,3.555,4648800.0
1740938400000,1740938400000,3.555,3.6,3.485,3.565,1420222.5
1740960000000,1740960000000,3.565,3.583,3.427,3.475,1175215.6
1740981600000,1740981600000,3.475,3.475,3.283,3.334,1765416.9
1741003200000,1741003200000,3.334,3.376,3.232,3.273,1912419.4
1741024800000,1741024800000,3.273,3.277,2.996,3.068,2808273.6
1741046400000,1741046400000,3.068,3.083,2.849,3.007,3222214.7
1741068000000,1741068000000,3.007,3.016,2.953,2.981,812282.6
1741089600000,1741089600000,2.981,3.049,2.764,2.962,4093081.7
1741111200000,1741111200000,2.962,3.074,2.948,3.016,1130565.9
1741132800000,1741132800000,3.016,3.046,2.975,3.001,837848.5
1741154400000,1741154400000,3.001,3.106,2.982,3.064,1155715.2
1741176000000,1741176000000,3.064,3.099,3.006,3.081,1381332.3
1741197600000,1741197600000,3.081,3.177,3.064,3.133,686811.3
1741219200000,1741219200000,3.133,3.199,3.103,3.171,933690.7
1741240800000,1741240800000,3.171,3.176,3.123,3.162,704763.0
1741262400000,1741262400000,3.162,3.168,3.044,3.068,1339888.5
1741284000000,1741284000000,3.068,3.133,3.041,3.086,951281.0
1741305600000,1741305600000,3.086,3.111,2.906,3.047,2950417.5
1741327200000,1741327200000,3.047,3.186,3.034,3.161,1469878.1
1741348800000,1741348800000,3.161,3.218,3.082,3.136,2690115.1
1741370400000,1741370400000,3.136,3.225,3.081,3.113,1233741.5
1741392000000,1741392000000,3.113,3.161,3.061,3.113,892703.7
1741413600000,1741413600000,3.113,3.121,3.031,3.054,719478.1
1741435200000,1741435200000,3.054,3.121,3.031,3.106,1025014.9
1741456800000,1741456800000,3.106,3.146,3.094,3.1,811102.4
1741478400000,1741478400000,3.1,3.123,3.06,3.062,305651.0
1741500000000,1741500000000,3.062,3.073,2.931,2.963,1081419.3
1741521600000,1741521600000,2.963,2.981,2.779,2.784,1962506.5
1741543200000,1741543200000,2.784,2.836,2.737,2.784,1455716.6
1741564800000,1741564800000,2.784,2.902,2.755,2.882,895833.2
1741586400000,1741586400000,2.882,2.973,2.837,2.935,1286257.7
1741608000000,1741608000000,2.935,2.95,2.697,2.711,2425747.6
1741629600000,1741629600000,2.711,2.754,2.589,2.641,2352217.3
1741651200000,1741651200000,2.641,2.707,2.436,2.691,4237615.8
1741672800000,1741672800000,2.691,2.737,2.677,2.687,1670012.6
1741694400000,1741694400000,2.687,2.746,2.572,2.681,3551339.4
1741716000000,1741716000000,2.681,2.806,2.681,2.739,1580880.1
1741737600000,1741737600000,2.739,2.799,2.671,2.721,1010022.7
1741759200000,1741759200000,2.721,2.808,2.699,2.79,1398671.1
1741780800000,1741780800000,2.79,2.869,2.691,2.772,2079017.8
1741802400000,1741802400000,2.772,2.81,2.757,2.787,674872.9
1741824000000,1741824000000,2.787,2.806,2.735,2.738,725006.0
1741845600000,1741845600000,2.738,2.802,2.718,2.792,912042.7
1741867200000,1741867200000,2.792,2.839,2.662,2.677,1379719.4
1741888800000,1741888800000,2.677,2.774,2.673,2.746,619985.2
1741910400000,1741910400000,2.746,2.8,2.737,2.786,479803.7
1741932000000,1741932000000,2.786,2.846,2.773,2.832,776720.4
1741953600000,1741953600000,2.832,2.906,2.826,2.879,1440422.1
1741975200000,1741975200000,2.879,2.915,2.866,2.884,661974.2
1741996800000,1741996800000,2.884,2.911,2.857,2.893,515600.4
1742018400000,1742018400000,2.893,2.919,2.86,2.915,350688.2
1742040000000,1742040000000,2.915,2.98,2.91,2.951,705337.5
1742061600000,1742061600000,2.951,2.966,2.924,2.946,381201.7
1742083200000,1742083200000,2.946,2.954,2.906,2.949,443498.5
1742104800000,1742104800000,2.949,2.949,2.826,2.836,1147315.0
1742126400000,1742126400000,2.836,2.915,2.823,2.876,1639968.6
1742148000000,1742148000000,2.876,2.88,2.812,2.833,1890436.6
1742169600000,1742169600000,2.833,2.925,2.831,2.889,482940.1
1742191200000,1742191200000,2.889,2.941,2.874,2.913,610914.7
1742212800000,1742212800000,2.913,2.986,2.9,2.968,1720540.8
1742234400000,1742234400000,2.968,3.08,2.964,3.02,1990248.5
1742256000000,1742256000000,3.02,3.029,2.933,2.958,1572451.3
1742277600000,1742277600000,2.958,2.968,2.843,2.858,3278299.5
1742299200000,1742299200000,2.858,2.876,2.816,2.832,2334658.3
1742320800000,1742320800000,2.832,2.935,2.831,2.922,736848.4
1742342400000,1742342400000,2.922,2.959,2.919,2.943,538290.5
1742364000000,1742364000000,2.943,3.009,2.912,2.995,1487438.6
1742385600000,1742385600000,2.995,3.034,2.955,2.98,2595502.9
1742407200000,1742407200000,2.98,3.093,2.952,3.085,1957436.9
1742428800000,1742428800000,3.085,3.102,2.994,3.015,1656585.7
1742450400000,1742450400000,3.015,3.086,2.998,3.025,948823.8
1742472000000,1742472000000,3.025,3.078,2.971,3.019,855302.8
1742493600000,1742493600000,3.019,3.07,3.005,3.047,627749.6
1742515200000,1742515200000,3.047,3.067,2.993,3.009,856928.7
1742536800000,1742536800000,3.009,3.014,2.915,2.924,1652737.6
1742558400000,1742558400000,2.924,2.942,2.871,2.93,959467.0
1742580000000,1742580000000,2.93,2.958,2.904,2.916,902155.6
1742601600000,1742601600000,2.916,2.983,2.912,2.974,773125.7
1742623200000,1742623200000,2.974,3.049,2.972,3.008,847382.9
1742644800000,1742644800000,3.008,3.044,2.968,3.042,667484.1
1742666400000,1742666400000,3.042,3.055,2.972,2.989,652533.6
1742688000000,1742688000000,2.989,3.024,2.974,3.001,451205.7
1742709600000,1742709600000,3.001,3.03,2.983,3.006,437551.0
1742731200000,1742731200000,3.006,3.027,2.964,2.977,588059.2
1742752800000,1742752800000,2.977,3.026,2.963,3.025,302183.6
1742774400000,1742774400000,3.025,3.145,2.994,3.136,1082467.9
1742796000000,1742796000000,3.136,3.197,3.11,3.131,1640742.1
1742817600000,1742817600000,3.131,3.165,3.101,3.147,957453.2
1742839200000,1742839200000,3.147,3.156,3.102,3.127,320252.4
1742860800000,1742860800000,3.127,3.148,3.087,3.112,465873.3
1742882400000,1742882400000,3.112,3.139,3.101,3.129,411382.7
1742904000000,1742904000000,3.129,3.143,3.096,3.141,642991.5
1742925600000,1742925600000,3.141,3.154,3.112,3.13,586708.5
1742947200000,1742947200000,3.13,3.178,3.104,3.141,524923.6
1742968800000,1742968800000,3.141,3.208,3.134,3.189,658393.0
1742990400000,1742990400000,3.189,3.191,3.056,3.074,1193324.0
1743012000000,1743012000000,3.074,3.088,3.0,3.024,788045.4
1743033600000,1743033600000,3.024,3.108,3.015,3.06,618646.4
1743055200000,1743055200000,3.06,3.075,2.999,3.004,968338.5
1743076800000,1743076800000,3.004,3.035,2.955,2.988,1954847.2
1743098400000,1743098400000,2.988,3.049,2.985,3.019,283669.8
1743120000000,1743120000000,3.019,3.047,2.899,2.906,1443571.8
1743141600000,1743141600000,2.906,2.928,2.837,2.883,1613290.2
1743163200000,1743163200000,2.883,2.885,2.799,2.822,1696369.0
1743184800000,1743184800000,2.822,2.84,2.777,2.826,1003654.5
1743206400000,1743206400000,2.826,2.851,2.775,2.807,601231.7
1743228000000,1743228000000,2.807,2.809,2.744,2.773,1183665.4
1743249600000,1743249600000,2.773,2.816,2.696,2.726,1130419.1
1743271200000,1743271200000,2.726,2.75,2.702,2.743,465131.3
1743292800000,1743292800000,2.743,2.781,2.706,2.758,516296.0
1743314400000,1743314400000,2.758,2.795,2.748,2.77,453937.2
1743336000000,1743336000000,2.77,2.785,2.714,2.743,689427.7
1743357600000,1743357600000,2.743,2.795,2.704,2.752,503991.1
1743379200000,1743379200000,2.752,2.788,2.723,2.771,852562.0
1743400800000,1743400800000,2.771,2.774,2.696,2.751,709056.0
1743422400000,1743422400000,2.751,2.81,2.722,2.759,991995.4
1743444000000,1743444000000,2.759,2.796,2.753,2.777,337228.2
1743465600000,1743465600000,2.777,2.886,2.774,2.862,716348.5
1743487200000,1743487200000,2.862,2.942,2.851,2.87,1589752.4
1743508800000,1743508800000,2.87,2.929,2.825,2.862,902810.2
1743530400000,1743530400000,2.862,2.863,2.818,2.836,620879.4
1743552000000,1743552000000,2.836,2.839,2.778,2.783,833903.3
1743573600000,1743573600000,2.783,2.818,2.762,2.782,866585.5
1743595200000,1743595200000,2.782,2.883,2.769,2.833,1222785.0
1743616800000,1743616800000,2.833,2.905,2.644,2.698,2833614.3
1743638400000,1743638400000,2.698,2.782,2.689,2.745,742215.6
1743660000000,1743660000000,2.745,2.757,2.651,2.685,688815.3
1743681600000,1743681600000,2.685,2.693,2.604,2.663,1330862.1
1743703200000,1743703200000,2.663,2.752,2.654,2.731,397974.2
1743724800000,1743724800000,2.731,2.742,2.682,2.719,629781.0
1743746400000,1743746400000,2.719,3.468,2.709,2.764,24336072.3
1743768000000,1743768000000,2.764,2.812,2.727,2.795,2851812.7
1743789600000,1743789600000,2.795,2.8,2.753,2.765,1050504.5
1743811200000,1743811200000,2.765,2.775,2.731,2.739,1542094.5
1743832800000,1743832800000,2.739,2.757,2.733,2.737,1009630.5
1743854400000,1743854400000,2.737,2.74,2.652,2.678,2078729.9
1743876000000,1743876000000,2.678,2.706,2.673,2.697,824211.7
1743897600000,1743897600000,2.697,2.708,2.655,2.681,755226.4
1743919200000,1743919200000,2.681,2.682,2.62,2.636,1413541.1
1743940800000,1743940800000,2.636,2.642,2.483,2.504,3591561.9
1743962400000,1743962400000,2.504,2.507,2.323,2.374,4886445.0
1743984000000,1743984000000,2.374,2.446,2.291,2.327,2448318.5
1744005600000,1744005600000,2.327,2.347,2.112,2.273,9441881.0
1744027200000,1744027200000,2.273,2.469,2.269,2.389,7139263.4
1744048800000,1744048800000,2.389,2.408,2.353,2.368,1258330.4
1744070400000,1744070400000,2.368,2.419,2.342,2.362,1346998.6
1744092000000,1744092000000,2.362,2.376,2.306,2.375,2338552.8
1744113600000,1744113600000,2.375,2.389,2.243,2.276,2458830.7
1744135200000,1744135200000,2.276,2.301,2.242,2.264,1202021.9
1744156800000,1744156800000,2.264,2.302,2.173,2.287,2206411.2
1744178400000,1744178400000,2.287,2.358,2.278,2.301,2019989.7
1744200000000,1744200000000,2.301,2.503,2.276,2.498,2620222.0
1744221600000,1744221600000,2.498,2.534,2.469,2.473,1741546.2
1744243200000,1744243200000,2.473,2.481,2.386,2.423,1115613.9
1744264800000,1744264800000,2.423,2.432,2.37,2.382,1197195.7
1744286400000,1744286400000,2.382,2.422,2.301,2.333,3219917.2
1744308000000,1744308000000,2.333,2.357,2.318,2.345,873125.0
1744329600000,1744329600000,2.345,2.409,2.329,2.405,1191851.9
1744351200000,1744351200000,2.405,2.446,2.394,2.408,1728590.2
1744372800000,1744372800000,2.408,2.468,2.396,2.458,2710329.1
1744394400000,1744394400000,2.458,2.47,2.432,2.454,810312.0
1744416000000,1744416000000,2.454,2.461,2.416,2.447,813847.6
1744437600000,1744437600000,2.447,2.494,2.447,2.461,950244.1
1744459200000,1744459200000,2.461,2.56,2.456,2.532,1508303.3
1744480800000,1744480800000,2.532,2.585,2.53,2.56,749528.9
1744502400000,1744502400000,2.56,2.566,2.495,2.499,923123.1
