timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,19.42,19.79,19.36,19.51,11501.81
1739102400000,1739102400000,19.51,19.62,19.04,19.17,9725.37
1739124000000,1739124000000,19.17,19.21,18.18,19.04,17419.3
1739145600000,1739145600000,19.04,19.44,18.41,19.11,18850.89
1739167200000,1739167200000,19.11,19.33,18.94,19.2,10546.92
1739188800000,1739188800000,19.2,19.47,18.92,19.27,16071.51
1739210400000,1739210400000,19.27,19.45,19.16,19.41,5996.59
1739232000000,1739232000000,19.41,21.02,19.4,20.96,27675.61
1739253600000,1739253600000,20.96,21.3,20.54,20.74,13179.75
1739275200000,1739275200000,20.74,20.76,19.85,20.07,20772.12
1739296800000,1739296800000,20.07,20.09,19.54,19.88,16964.23
1739318400000,1739318400000,19.88,20.17,19.7,19.94,11006.51
1739340000000,1739340000000,19.94,20.23,19.7,20.09,9766.21
1739361600000,1739361600000,20.09,20.7,19.22,20.63,66407.95
1739383200000,1739383200000,20.63,21.37,20.39,21.15,21446.32
1739404800000,1739404800000,21.15,21.21,20.69,20.83,9661.82
1739426400000,1739426400000,20.83,20.9,20.26,20.43,18451.79
1739448000000,1739448000000,20.43,20.59,20.03,20.26,19528.26
1739469600000,1739469600000,20.26,20.59,20.12,20.48,16204.85
1739491200000,1739491200000,20.48,21.05,20.44,20.91,7745.58
1739512800000,1739512800000,20.91,21.21,20.68,21.0,10026.77
1739534400000,1739534400000,21.0,21.51,20.68,21.38,13005.69
1739556000000,1739556000000,21.38,21.51,20.49,20.83,13223.57
1739577600000,1739577600000,20.83,21.11,20.71,21.02,7993.62
1739599200000,1739599200000,21.02,21.07,20.53,20.64,7013.41
1739620800000,1739620800000,20.64,20.79,20.25,20.33,7736.71
1739642400000,1739642400000,20.33,20.55,20.18,20.25,7745.44
1739664000000,1739664000000,20.25,20.4,20.01,20.2,5685.61
1739685600000,1739685600000,20.2,20.7,19.91,20.67,10757.44
1739707200000,1739707200000,20.67,20.7,20.09,20.19,16269.01
1739728800000,1739728800000,20.19,20.39,19.94,20.18,13683.91
1739750400000,1739750400000,20.18,20.62,19.69,19.89,12247.82
1739772000000,1739772000000,19.89,20.52,19.79,20.43,8561.19
1739793600000,1739793600000,20.43,20.85,19.83,19.84,15412.99
1739815200000,1739815200000,19.84,20.21,19.6,19.98,9726.05
1739836800000,1739836800000,19.98,20.1,19.51,19.53,7006.71
1739858400000,1739858400000,19.53,19.54,18.97,19.25,12136.11
1739880000000,1739880000000,19.25,19.48,18.35,18.54,26584.22
1739901600000,1739901600000,18.54,18.93,18.45,18.93,9934.41
1739923200000,1739923200000,18.93,19.11,18.76,18.99,8514.81
1739944800000,1739944800000,18.99,19.51,18.93,19.5,12128.59
1739966400000,1739966400000,19.5,19.68,19.28,19.46,8007.49
1739988000000,1739988000000,19.46,19.59,19.2,19.55,5561.56
1740009600000,1740009600000,19.55,20.05,19.47,19.93,4749.45
1740031200000,1740031200000,19.93,19.98,19.61,19.89,5574.9
1740052800000,1740052800000,19.89,20.16,19.61,20.04,7320.62
1740074400000,1740074400000,20.04,20.27,19.88,19.98,12684.64
1740096000000,1740096000000,19.98,20.23,19.84,20.19,3627.51
1740117600000,1740117600000,20.19,20.96,20.18,20.87,19361.25
1740139200000,1740139200000,20.87,21.32,20.1,20.11,47129.26
1740160800000,1740160800000,20.11,20.19,19.35,19.77,56034.06
1740182400000,1740182400000,19.77,20.5,19.64,20.5,22381.15
1740204000000,1740204000000,20.5,20.65,20.17,20.32,12341.79
1740225600000,1740225600000,20.32,20.47,20.13,20.44,13748.48
1740247200000,1740247200000,20.44,20.51,20.25,20.36,6037.74
1740268800000,1740268800000,20.36,20.48,20.18,20.32,3759.15
1740290400000,1740290400000,20.32,20.72,20.21,20.24,6048.37
1740312000000,1740312000000,20.24,20.3,19.81,20.06,6953.79
1740333600000,1740333600000,20.06,20.17,19.87,20.13,4664.07
1740355200000,1740355200000,20.13,20.17,19.11,19.51,17726.86
1740376800000,1740376800000,19.51,19.6,18.99,19.24,8015.37
1740398400000,1740398400000,19.24,20.62,18.93,20.0,86201.31
1740420000000,1740420000000,20.0,20.42,17.81,18.1,65089.67
1740441600000,1740441600000,18.1,18.31,17.45,18.21,32679.79
1740463200000,1740463200000,18.21,18.4,16.91,18.36,50821.6
1740484800000,1740484800000,18.36,18.78,18.06,18.57,46991.96
1740506400000,1740506400000,18.57,20.02,18.49,19.84,22993.32
1740528000000,1740528000000,19.84,21.6,19.44,20.65,75795.63
1740549600000,1740549600000,20.65,20.98,20.25,20.33,44032.97
1740571200000,1740571200000,20.33,20.8,19.64,19.75,52483.43
1740592800000,1740592800000,19.75,20.42,19.24,20.07,37640.13
