timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,23.84,24.08,23.48,23.48,12069.4
1739102400000,1739102400000,23.48,23.67,22.54,22.76,18347.57
1739124000000,1739124000000,22.76,22.94,21.65,22.75,13281.05
1739145600000,1739145600000,22.75,23.35,22.02,23.12,11846.58
1739167200000,1739167200000,23.12,23.29,22.71,22.89,5719.3
1739188800000,1739188800000,22.89,23.42,22.66,23.18,15790.65
1739210400000,1739210400000,23.18,23.33,22.84,23.1,5065.36
1739232000000,1739232000000,23.1,24.14,23.07,24.11,10615.08
1739253600000,1739253600000,24.11,24.28,23.6,23.77,6279.29
1739275200000,1739275200000,23.77,23.8,22.62,22.7,12770.24
1739296800000,1739296800000,22.7,22.72,22.08,22.53,8539.54
1739318400000,1739318400000,22.53,22.9,22.33,22.69,6373.17
1739340000000,1739340000000,22.69,22.84,22.16,22.48,5801.1
1739361600000,1739361600000,22.48,23.63,21.48,23.48,41465.66
1739383200000,1739383200000,23.48,24.24,23.09,23.97,9608.34
1739404800000,1739404800000,23.97,24.42,23.49,23.78,12905.7
1739426400000,1739426400000,23.78,23.84,23.01,23.07,19968.22
1739448000000,1739448000000,23.07,23.25,22.53,22.88,23498.52
1739469600000,1739469600000,22.88,23.29,22.71,23.13,7423.12
1739491200000,1739491200000,23.13,23.34,22.77,22.85,5630.23
1739512800000,1739512800000,22.85,23.64,22.66,23.1,15733.82
1739534400000,1739534400000,23.1,24.09,22.98,23.97,15414.01
1739556000000,1739556000000,23.97,24.09,23.1,23.5,13366.53
1739577600000,1739577600000,23.5,23.86,23.27,23.56,11487.75
1739599200000,1739599200000,23.56,23.56,22.7,22.85,6319.19
1739620800000,1739620800000,22.85,23.03,22.46,22.61,5954.86
1739642400000,1739642400000,22.61,22.81,22.41,22.78,4091.24
1739664000000,1739664000000,22.78,23.05,22.44,22.82,9931.22
1739685600000,1739685600000,22.82,23.49,22.61,23.48,9887.74
1739707200000,1739707200000,23.48,23.5,22.73,22.78,6626.42
1739728800000,1739728800000,22.78,22.94,22.41,22.6,4840.38
1739750400000,1739750400000,22.6,23.1,22.42,22.73,5414.47
1739772000000,1739772000000,22.73,23.51,22.33,23.38,11306.71
1739793600000,1739793600000,23.38,24.19,23.12,23.13,16335.4
1739815200000,1739815200000,23.13,23.86,22.72,23.66,7847.9
1739836800000,1739836800000,23.66,23.72,22.81,22.84,8156.45
1739858400000,1739858400000,22.84,23.51,22.22,22.87,28741.38
1739880000000,1739880000000,22.87,23.09,21.4,21.64,24334.43
1739901600000,1739901600000,21.64,22.56,21.56,22.49,9493.35
1739923200000,1739923200000,22.49,22.7,22.22,22.66,3479.73
1739944800000,1739944800000,22.66,23.21,22.66,23.18,3246.89
1739966400000,1739966400000,23.18,23.45,22.82,23.17,10161.65
1739988000000,1739988000000,23.17,23.49,23.01,23.33,3895.7
1740009600000,1740009600000,23.33,24.23,23.31,24.05,15770.81
1740031200000,1740031200000,24.05,24.98,24.05,24.9,19236.2
1740052800000,1740052800000,24.9,26.07,24.8,25.1,28809.45
1740074400000,1740074400000,25.1,26.7,25.05,26.07,16851.21
1740096000000,1740096000000,26.07,27.2,25.75,27.14,15416.14
1740117600000,1740117600000,27.14,27.59,26.71,27.17,22272.94
1740139200000,1740139200000,27.17,27.89,25.59,25.7,44076.5
1740160800000,1740160800000,25.7,25.88,24.87,25.45,15000.55
1740182400000,1740182400000,25.45,26.19,25.22,26.09,7524.72
1740204000000,1740204000000,26.09,26.27,25.44,26.24,6431.35
1740225600000,1740225600000,26.24,26.34,25.79,26.22,5446.06
1740247200000,1740247200000,26.22,26.38,25.93,25.97,3366.89
1740268800000,1740268800000,25.97,26.35,25.57,25.85,6034.08
1740290400000,1740290400000,25.85,26.82,25.75,26.3,9427.68
1740312000000,1740312000000,26.3,26.54,25.69,26.22,9443.93
1740333600000,1740333600000,26.22,26.32,25.57,25.9,9106.61
1740355200000,1740355200000,25.9,26.02,24.55,24.87,8630.25
1740376800000,1740376800000,24.87,24.87,23.35,23.95,21463.24
1740398400000,1740398400000,23.95,27.74,23.58,26.64,197775.86
1740420000000,1740420000000,26.64,28.69,25.72,26.4,140088.75
1740441600000,1740441600000,26.4,27.16,24.98,26.03,78884.71
