timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,1.0679,1.0863,1.0638,1.075,2163654.5
1739102400000,1739102400000,1.075,1.0892,1.0484,1.0716,4863486.1
1739124000000,1739124000000,1.0716,1.0841,1.015,1.0777,6689755.4
1739145600000,1739145600000,1.0777,1.1074,1.0367,1.0945,8656911.9
1739167200000,1739167200000,1.0945,1.1031,1.0793,1.0946,4406560.0
1739188800000,1739188800000,1.0946,1.1149,1.0774,1.109,10853747.2
1739210400000,1739210400000,1.109,1.1133,1.0889,1.0971,3289230.0
1739232000000,1739232000000,1.0971,1.1424,1.0934,1.139,6850556.1
1739253600000,1739253600000,1.139,1.1402,1.106,1.1181,6488148.6
1739275200000,1739275200000,1.1181,1.1202,1.0673,1.08,8290343.4
1739296800000,1739296800000,1.08,1.0822,1.0506,1.0701,5179493.3
1739318400000,1739318400000,1.0701,1.0834,1.0546,1.0651,3757670.6
1739340000000,1739340000000,1.0651,1.0773,1.055,1.0691,3292905.8
1739361600000,1739361600000,1.0691,1.1063,1.0225,1.0981,17212855.7
1739383200000,1739383200000,1.0981,1.1521,1.0825,1.1225,6086533.6
1739404800000,1739404800000,1.1225,1.1614,1.1112,1.1345,6027716.9
1739426400000,1739426400000,1.1345,1.1355,1.0959,1.1041,7036808.7
1739448000000,1739448000000,1.1041,1.1167,1.0845,1.104,7316563.5
1739469600000,1739469600000,1.104,1.1374,1.0994,1.1225,4667596.3
1739491200000,1739491200000,1.1225,1.1476,1.1105,1.1311,5488610.7
1739512800000,1739512800000,1.1311,1.1884,1.1267,1.1622,10114623.4
1739534400000,1739534400000,1.1622,1.1977,1.1459,1.19,8629414.5
1739556000000,1739556000000,1.19,1.1975,1.1383,1.1566,5159143.9
1739577600000,1739577600000,1.1566,1.1645,1.1414,1.1565,2828265.9
1739599200000,1739599200000,1.1565,1.1569,1.133,1.14,3197702.3
1739620800000,1739620800000,1.14,1.1478,1.1209,1.1309,3828698.3
1739642400000,1739642400000,1.1309,1.1385,1.1135,1.1281,2474102.5
1739664000000,1739664000000,1.1281,1.1353,1.1113,1.128,1884460.9
1739685600000,1739685600000,1.128,1.1458,1.1165,1.1437,2620714.1
1739707200000,1739707200000,1.1437,1.148,1.1145,1.1269,3697480.1
1739728800000,1739728800000,1.1269,1.127,1.0981,1.1153,3292130.0
1739750400000,1739750400000,1.1153,1.1416,1.1021,1.1202,4073872.0
1739772000000,1739772000000,1.1202,1.1725,1.1177,1.1632,7896078.8
1739793600000,1739793600000,1.1632,1.2052,1.1581,1.1737,16233925.2
1739815200000,1739815200000,1.1737,1.2124,1.1473,1.2048,9236900.3
1739836800000,1739836800000,1.2048,1.2158,1.125,1.1319,8572610.7
1739858400000,1739858400000,1.1319,1.1346,1.0869,1.0922,9863919.7
1739880000000,1739880000000,1.0922,1.1185,1.0415,1.0564,13754407.5
1739901600000,1739901600000,1.0564,1.0909,1.0535,1.0861,5966451.4
1739923200000,1739923200000,1.0861,1.1095,1.0748,1.0951,4972203.5
1739944800000,1739944800000,1.0951,1.1498,1.0925,1.1412,6070741.9
1739966400000,1739966400000,1.1412,1.1525,1.1153,1.1364,6690777.2
1739988000000,1739988000000,1.1364,1.1412,1.1179,1.1255,3700633.1
1740009600000,1740009600000,1.1255,1.1693,1.1223,1.1535,5854812.7
1740031200000,1740031200000,1.1535,1.1556,1.1356,1.1501,3768281.7
1740052800000,1740052800000,1.1501,1.1822,1.1264,1.1471,8319503.8
1740074400000,1740074400000,1.1471,1.1702,1.1456,1.1626,4680316.6
1740096000000,1740096000000,1.1626,1.1805,1.1531,1.1625,5046636.4
1740117600000,1740117600000,1.1625,1.1979,1.1571,1.1761,5728821.8
1740139200000,1740139200000,1.1761,1.2045,1.1204,1.126,19696364.7
1740160800000,1740160800000,1.126,1.1313,1.0725,1.0873,10982355.5
1740182400000,1740182400000,1.0873,1.1025,1.0693,1.0861,4519865.3
1740204000000,1740204000000,1.0861,1.1212,1.0817,1.1162,3827258.0
1740225600000,1740225600000,1.1162,1.1465,1.1024,1.1442,5111580.8
1740247200000,1740247200000,1.1442,1.1553,1.1366,1.1425,2959487.7
1740268800000,1740268800000,1.1425,1.1557,1.1376,1.1467,2265886.6
1740290400000,1740290400000,1.1467,1.1798,1.1425,1.1646,4492961.0
1740312000000,1740312000000,1.1646,1.1864,1.1536,1.1807,7325608.1
1740333600000,1740333600000,1.1807,1.1912,1.1653,1.1793,4250742.3
1740355200000,1740355200000,1.1793,1.1976,1.1048,1.1307,9716955.6
1740376800000,1740376800000,1.1307,1.1314,1.0855,1.1063,8161912.8
1740398400000,1740398400000,1.1063,1.1066,1.0575,1.0685,11294055.8
1740420000000,1740420000000,1.0685,1.0775,0.9759,1.0026,19413027.1
1740441600000,1740441600000,1.0026,1.0251,0.9726,1.0086,11589857.0
1740463200000,1740463200000,1.0086,1.0118,0.9314,0.9943,25460444.6
1740484800000,1740484800000,0.9943,1.0597,0.9872,1.0474,15005970.6
1740506400000,1740506400000,1.0474,1.0931,1.036,1.0776,7964539.7
1740528000000,1740528000000,1.0776,1.0981,1.0647,1.0766,3930507.5
1740549600000,1740549600000,1.0766,1.095,1.07,1.0717,5206489.1
