timestamp,time,open,high,low,close,volume
1739080800000,1739080800000,3.025,3.036,2.907,2.907,1336932.4
1739102400000,1739102400000,2.907,2.938,2.849,2.855,858696.9
1739124000000,1739124000000,2.855,2.869,2.698,2.782,1164523.6
1739145600000,1739145600000,2.782,2.942,2.702,2.796,2368796.9
1739167200000,1739167200000,2.796,2.843,2.77,2.809,731068.0
1739188800000,1739188800000,2.809,2.941,2.781,2.933,855194.3
1739210400000,1739210400000,2.933,3.051,2.898,3.012,1209804.7
1739232000000,1739232000000,3.012,3.614,2.932,3.573,10333900.5
1739253600000,1739253600000,3.573,3.632,3.394,3.455,6965080.5
1739275200000,1739275200000,3.455,3.463,3.248,3.28,3886806.4
1739296800000,1739296800000,3.28,3.322,3.213,3.255,1991798.2
1739318400000,1739318400000,3.255,3.255,3.102,3.147,3213653.2
1739340000000,1739340000000,3.147,3.729,3.114,3.342,12563443.9
1739361600000,1739361600000,3.342,3.365,3.156,3.316,4462298.3
1739383200000,1739383200000,3.316,3.384,3.272,3.364,1313777.4
1739404800000,1739404800000,3.364,3.438,3.282,3.321,2425851.8
1739426400000,1739426400000,3.321,3.348,3.205,3.227,1703516.8
1739448000000,1739448000000,3.227,3.31,3.185,3.239,1441089.8
1739469600000,1739469600000,3.239,3.338,3.221,3.268,649879.3
1739491200000,1739491200000,3.268,3.417,3.236,3.368,2559117.4
1739512800000,1739512800000,3.368,3.439,3.314,3.342,1752332.4
1739534400000,1739534400000,3.342,3.425,3.304,3.404,902577.5
1739556000000,1739556000000,3.404,3.448,3.313,3.366,576817.0
1739577600000,1739577600000,3.366,3.538,3.366,3.396,3045938.2
1739599200000,1739599200000,3.396,3.399,3.318,3.349,755385.1
1739620800000,1739620800000,3.349,3.38,3.287,3.303,890047.8
1739642400000,1739642400000,3.303,3.329,3.244,3.276,357972.4
1739664000000,1739664000000,3.276,3.283,3.183,3.212,1101307.0
1739685600000,1739685600000,3.212,3.256,3.178,3.249,581867.3
1739707200000,1739707200000,3.249,3.253,3.161,3.224,383631.9
1739728800000,1739728800000,3.224,3.253,3.171,3.199,431561.7
1739750400000,1739750400000,3.199,3.317,3.148,3.208,2449166.9
1739772000000,1739772000000,3.208,3.277,3.188,3.268,780345.9
1739793600000,1739793600000,3.268,3.353,3.206,3.261,1264006.4
1739815200000,1739815200000,3.261,3.345,3.243,3.317,670108.4
1739836800000,1739836800000,3.317,3.499,3.266,3.365,2046328.3
1739858400000,1739858400000,3.365,3.37,3.204,3.213,2214012.3
1739880000000,1739880000000,3.213,3.294,3.034,3.059,1541738.2
1739901600000,1739901600000,3.059,3.136,3.053,3.107,832920.4
1739923200000,1739923200000,3.107,3.228,3.062,3.204,1423847.2
1739944800000,1739944800000,3.204,3.264,3.185,3.243,981714.1
1739966400000,1739966400000,3.243,3.348,3.19,3.243,2465306.0
1739988000000,1739988000000,3.243,3.264,3.197,3.242,514686.4
1740009600000,1740009600000,3.242,3.321,3.211,3.295,1610773.3
1740031200000,1740031200000,3.295,3.295,3.203,3.234,878311.5
1740052800000,1740052800000,3.234,3.285,3.209,3.24,681869.4
1740074400000,1740074400000,3.24,3.304,3.238,3.275,571355.9
1740096000000,1740096000000,3.275,3.281,3.202,3.208,827623.8
1740117600000,1740117600000,3.208,3.279,3.194,3.262,789792.5
1740139200000,1740139200000,3.262,3.339,3.14,3.148,1768333.0
1740160800000,1740160800000,3.148,3.148,2.976,3.076,2120548.5
1740182400000,1740182400000,3.076,3.076,2.983,3.029,352973.9
1740204000000,1740204000000,3.029,3.072,3.011,3.063,310479.8
1740225600000,1740225600000,3.063,3.088,3.033,3.084,193751.7
1740247200000,1740247200000,3.084,3.102,3.052,3.074,161764.4
1740268800000,1740268800000,3.074,3.074,2.995,3.014,234483.8
1740290400000,1740290400000,3.014,3.056,3.003,3.01,137318.5
1740312000000,1740312000000,3.01,3.016,2.972,3.001,213664.8
1740333600000,1740333600000,3.001,3.008,2.945,3.002,256641.8
1740355200000,1740355200000,3.002,3.009,2.828,2.888,473973.5
1740376800000,1740376800000,2.888,2.907,2.848,2.893,268279.6
1740398400000,1740398400000,2.893,2.903,2.796,2.848,446900.3
1740420000000,1740420000000,2.848,2.856,2.602,2.639,1055282.5
